question,label
"Come mi iscrivo al corso di laurea in Ingegneria Informatica?",1
"Quali sono le scadenze per il pagamento delle tasse universitarie?",1
"Dove si trova la segreteria studenti di Economia?",1
"Chi è il rettore dell'Università Politecnica delle Marche?",1
"Quali sono gli orari della biblioteca di Ateneo?",1
"Come posso richiedere la borsa di studio ERDIS?",1
"Cosa devo fare per presentare la domanda di laurea?",1
"Quali sono i corsi disponibili alla facoltà di Medicina?",1
"C'è una mensa universitaria vicino a Monte Dago?",1
"Come funziona il programma Erasmus+?",1
"Dove posso trovare l'orario delle lezioni del primo semestre?",1
"Quali documenti servono per l'immatricolazione?",1
"Come contatto il professore di Analisi Matematica?",1
"Esiste un servizio di counseling psicologico per studenti?",1
"Quali sono i requisiti per l'accesso alla magistrale?",1
"Come prenotare un appello d'esame su esse3?",1
"Dove si trovano le aule studio a Villarey?",1
"Quanto costa l'iscrizione all'anno accademico?",1
"Cosa succede se non pago la seconda rata in tempo?",1
"Posso fare il tirocinio all'estero?",1
"Come si cucina la carbonara?",0
"Chi ha vinto l'ultimo scudetto di calcio?",0
"Che tempo farà domani ad Ancona?",0
"Qual è la capitale del Giappone?",0
"Consigliami un buon film da vedere stasera.",0
"Quanto costa un biglietto aereo per Londra?",0
"Come si cambia la ruota della macchina?",0
"Qual è il miglior ristorante di sushi in città?",0
"Chi è il presidente degli Stati Uniti?",0
"Ricetta per il tiramisù classico.",0
"Quali sono i sintomi dell'influenza?",0
"Come addestrare un cane a sedersi?",0
"Migliori esercizi per gli addominali.",0
"Recensione dell'ultimo iPhone.",0
"Dove andare in vacanza ad agosto?",0
"Come piantare i pomodori nell'orto?",0
"Chi ha scritto la Divina Commedia?",0
"Quanto dista la luna dalla terra?",0
"Come fare il nodo alla cravatta?",0
"Perché il cielo è blu?",0
